Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,MaSp1,MaSp2,MaSp2B,MaSp3,MaSp3B,Spidroin,sp.,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd,Cluster
128,4912-W1_S1,4912.0,DRR296879,pilipes,Nephila,Araneidae,16.6066649399593,20.17766756548394,7.780737121871904,16.215353013131214,16.214840968477855,12.76108413555601,14.581584350383745,Nephila,pilipes,299642.0,urn:lsid:nmbe.ch:spidersp:013960,Unknown,Female,2017-01-24,India,11.0,0.135,0.079,9.38,4.24,1.17,0.35,19.7,6.6,222.0,280.0,301.0,20.0,55.7,17.6,0.98,0.2,8.4,,,3.0
130,4916-W1_S2,4916.0,DRR297531,-,Argiope,Araneidae,13.580909294478534,15.915039223670268,7.531381163463813,5.727920454563199,5.392317422778761,13.508172076864977,19.497574168611983,Argiope,sp. (OTU0362),2337308.0,,Unknown,Female,2017-01-24,India,13.0,0.212,0.055,7.16,2.53,1.52,0.27,31.4,3.6,241.0,287.0,305.0,15.0,33.8,2.1,2.05,0.03,7.6,45.2,14.3,0.0
131,4954-W1_S11,4954.0,DRR297092,bifida,Cyclosa,Araneidae,13.249830691074514,17.57817741638752,14.001689724693524,10.111465482709152,8.004174782593218,8.313616709268883,12.523891780479806,Cyclosa,bifida,2293436.0,urn:lsid:nmbe.ch:spidersp:015579,Unknown,Female,2017-01-24,India,7.0,0.099,0.032,2.49,1.28,1.06,0.44,25.8,3.1,,,,,60.3,12.9,0.75,0.06,,,,0.0
132,4959-W1_S4,4959.0,DRR297582,unicolor,Cyrtophora,Araneidae,19.83758028233341,16.289740032078516,7.098876389533034,6.705739403455775,5.916064380955054,8.520118613389965,15.04971796674568,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Unknown,2017-01-24,India,7.0,0.089,0.04,6.07,1.1,1.06,0.09,16.5,5.1,,,,24.0,45.4,3.4,1.69,0.04,,,,0.0
135,4992-W1_S8,4992.0,DRR296734,-,Argiope,Araneidae,13.490706050400131,16.514278060097958,7.366322124545156,5.392317422778761,4.754887502163468,13.422963092700137,19.733559986504098,Argiope,sp. (OTU0362),2337308.0,,Unknown,Female,2017-01-25,India,10.0,0.16,0.049,5.85,0.31,1.32,0.16,24.8,5.8,,,,16.0,37.6,1.8,2.78,0.09,,,,0.0
136,5018-W1_S10,5018.0,DRR296908,-,-,Araneidae,14.769458204085256,14.973426225273409,8.47748625573864,8.53712663289522,6.643856192660115,12.596901196176496,19.868400652972152,Gen.,sp. (OTU0124),2337812.0,,Unknown,Unknown,2017-01-25,India,,0.015,0.008,1.01,0.3,0.17,0.05,15.3,2.7,206.0,284.0,306.0,24.0,36.9,25.1,1.58,0.52,10.1,,,5.0
137,5019-W1_S14,5019.0,DRR297560,diadesmia,Gasteracantha,Araneidae,14.44066846865725,18.50394416143233,15.350539492203394,10.480304405590111,7.280890420718295,15.26159474181167,17.94368603945882,Gasteracantha,diadesmia,2337415.0,urn:lsid:nmbe.ch:spidersp:016017,Unknown,Female,2017-01-25,India,,0.109,0.026,5.85,2.79,0.89,0.2,26.5,4.0,225.0,276.0,296.0,18.0,34.6,2.8,2.42,0.08,0.2,5.4,3.2,0.0
139,5024-W1_S12,5024.0,DRR296519,-,Neoscona,Araneidae,13.667885838857638,15.777649191753726,8.133956982937603,11.40081785365808,6.044394119358453,11.42496046721247,19.153733627393336,Neoscona,sp. (OTU1084),2337508.0,,Unknown,Female,2017-01-25,India,,0.126,0.035,9.24,2.54,1.36,0.35,20.4,3.8,,,,14.0,46.2,46.7,1.08,0.49,,,,5.0
140,5027-W1_S13,5027.0,DRR297749,unicolor,Cyrtophora,Araneidae,20.34291742088104,16.92430750217734,8.254516004219045,6.426264757017993,5.977279926661296,8.008334337302585,13.845583237703606,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Unknown,2017-01-25,India,8.0,0.043,0.019,5.08,1.52,0.67,0.12,12.2,2.5,209.0,280.0,307.0,23.0,70.2,14.9,0.72,0.05,7.6,6.1,2.5,0.0
141,5040-W1_S15,5040.0,DRR297430,-,Gasteracantha,Araneidae,14.028560995725147,17.604585983024872,11.061574748847544,9.467605550082997,6.820178962415188,13.40398886283024,20.6240751331956,Gasteracantha,sp. (OTU0225),2337416.0,,Unknown,Female,2017-01-25,India,,0.063,0.012,4.11,1.22,0.72,0.13,19.0,2.1,229.0,288.0,312.0,22.0,38.7,4.1,2.33,0.1,5.2,41.1,11.8,0.0
144,5058-W1_S12,5058.0,DRR297450,hiramatsui,Zygiella,Araneidae,18.588640767410443,16.043485714733443,6.9886846867721655,7.774339029936436,6.657239836192669,13.673881381230665,13.847601655039824,Zygiella,hiramatsui,2337719.0,urn:lsid:nmbe.ch:spidersp:049604,Unknown,Female,2017-03-20,Japan,5.0,0.111,0.014,2.34,0.78,0.92,0.07,29.8,4.6,191.0,219.0,246.0,17.0,62.1,31.7,0.57,0.1,9.4,,,3.0
148,5104-W1_S17,5104.0,DRR297722,alba,Cyclosa,Araneidae,12.839546843290591,17.928209234428685,13.256601555620373,13.029737291505356,5.614709859000052,14.325564722500973,12.815636511837468,Cyclosa,alba,345691.0,urn:lsid:nmbe.ch:spidersp:015564,Unknown,Female,2017-03-22,Japan,3.0,0.153,0.067,2.38,0.7,1.25,0.24,29.2,6.0,,,,5.0,60.2,10.3,0.6,0.04,,,,0.0
150,5118-W1_S27,5118.0,DRR297449,fusiformis,Larinia,Araneidae,15.529638740298198,18.134660591838166,16.448165245323587,14.797864137333749,7.426264754702098,11.959259275239326,14.645493219014329,Larinia,fusiformis,2337460.0,urn:lsid:nmbe.ch:spidersp:016301,Unknown,Female,2017-04-09,Japan,7.0,0.034,0.015,2.57,0.42,0.54,0.19,14.4,3.7,,,,14.0,37.6,11.2,0.79,0.07,,,,0.0
158,5209-W1_S8,5209.0,DRR297461,spinipes,Gea,Araneidae,18.56685614337151,18.506079515007208,8.78135971352466,6.874559572768504,6.768184324776926,12.601796722324886,14.909341910138922,Gea,spinipes,1538127.0,urn:lsid:nmbe.ch:spidersp:016112,Unknown,Female,2017-04-15,Malaysia,5.0,0.141,0.025,4.66,0.82,1.54,0.17,21.9,3.8,201.0,273.0,306.0,,48.2,6.4,0.51,0.03,15.1,,,0.0
161,5214-W1_S24,5214.0,DRR297685,dehaani,Parawixia,Araneidae,16.116355927725834,16.58014856612031,7.948367056358548,12.47040467887336,7.651051742217818,10.68119017974005,14.426147804211856,Parawixia,dehaani,2337571.0,urn:lsid:nmbe.ch:spidersp:016893,Unknown,Female,2017-04-15,Malaysia,18.0,0.099,0.029,5.98,0.42,1.12,0.24,26.9,1.2,233.0,285.0,304.0,20.0,37.6,9.2,2.66,0.19,6.1,43.9,5.6,0.0
163,5219-W1_S2,5219.0,DRR297005,kuhli,Gasteracantha,Araneidae,14.217247644782324,17.673582094524935,12.629180314068046,10.117643102218867,5.459431639589163,15.644698833906846,15.016726379758904,Gasteracantha,kuhli,216277.0,urn:lsid:nmbe.ch:spidersp:016031,Unknown,Female,2017-04-15,Malaysia,5.0,0.102,0.015,3.23,0.09,0.64,0.05,30.9,1.2,230.0,283.0,302.0,17.0,29.0,2.5,2.0,0.03,6.1,,,0.0
166,5229-W1_S4,5229.0,DRR297425,-,-,Araneidae,15.754608518690835,14.303757159154372,8.433537037554784,13.079527418430812,11.671541049020956,13.962938699156284,19.526104378909967,Gen.,sp. (OTU0160),2337813.0,,Unknown,Female,2017-04-16,Malaysia,4.0,0.036,0.015,3.07,0.89,0.71,0.14,13.2,2.5,,,,12.0,60.4,8.8,0.45,0.03,,,,5.0
171,5249-W1_S7,5249.0,DRR296714,spinipes,Gea,Araneidae,18.16651335195301,16.704578908796872,7.839203788096944,5.470676767841562,5.169925001442312,12.172941240648443,13.018023889954618,Gea,spinipes,1538127.0,urn:lsid:nmbe.ch:spidersp:016112,Unknown,Female,2017-04-15,Malaysia,6.0,0.128,0.035,13.0,1.59,2.17,0.12,13.7,2.7,258.0,282.0,294.0,15.0,48.7,9.7,0.48,0.03,11.5,40.3,8.5,0.0
173,5281-W1_S8,5281.0,DRR296535,perpolita,Singa,Araneidae,14.94769500813068,18.409528843522597,12.427142078445977,13.493887639389978,6.94251450533924,13.50631759016489,14.696579602914602,Singa,perpolita,2337647.0,urn:lsid:nmbe.ch:spidersp:017059,Unknown,Female,2017-04-17,Malaysia,5.0,0.155,0.044,3.41,0.74,1.63,0.16,24.4,3.0,241.0,288.0,307.0,,77.0,19.7,0.38,0.02,7.7,,,0.0
174,5286-W1_S8,5286.0,DRR297350,poonaensis,Eriovixia,Araneidae,16.3303722670077,13.92476594228043,8.408009361079227,16.76108369358336,6.3750394313469245,13.812139746211582,13.82142561474942,Eriovixia,poonaensis,1750731.0,urn:lsid:nmbe.ch:spidersp:015900,Unknown,Female,2017-04-17,Malaysia,,0.241,0.059,12.8,2.34,1.56,0.13,27.6,6.2,216.0,279.0,278.0,8.0,65.4,8.7,0.47,0.03,7.5,,,4.0
176,53-W30_S19,53.0,DRR297226,amabilis,Araneus,Araneidae,12.388918837305352,17.23126536417684,13.018775521320697,6.931574319041074,6.108524435869545,13.71312915218931,13.702874150069247,Araneus,amabilis,2337290.0,urn:lsid:nmbe.ch:spidersp:037655,Unknown,Unknown,2014-12-08,Japan,,0.128,0.032,6.17,0.79,0.92,0.15,25.7,3.7,,,,,41.0,7.8,1.72,0.13,,,,0.0
184,5457-W1_S20,5457.0,DRR297608,pentagrammicus,Araneus,Araneidae,13.136873420320384,17.96626906397252,14.875129124621866,6.044394119358453,5.392317422778761,13.492960697429968,14.08945592690228,Araneus,pentagrammicus,2337294.0,urn:lsid:nmbe.ch:spidersp:015102,Unknown,Female,2017-05-23,Japan,8.0,0.05,0.013,2.19,0.37,0.36,0.09,34.5,3.8,285.0,302.0,316.0,14.0,39.0,5.9,1.09,0.04,19.0,,,0.0
186,5478-W1_S3,5478.0,DRR296822,coccineus,Acusilas,Araneidae,14.39614258270262,16.81282503399446,7.456580217716676,6.426264778035174,6.409390959745284,14.724883316767574,14.567402839741746,Acusilas,coccineus,1662254.0,urn:lsid:nmbe.ch:spidersp:014455,Unknown,Female,2017-05-24,Japan,11.0,0.156,0.026,13.1,1.86,2.06,0.25,16.6,1.6,216.0,278.0,300.0,,43.5,4.1,0.57,0.03,7.0,,,0.0
191,5517-W1_S20,5517.0,DRR296489,seminiger,Araneus,Araneidae,15.229254516645604,15.270995189203422,10.876176736614102,10.359884018614144,7.864183356473145,14.475603295040644,15.106224845737897,Araneus,seminiger,2175613.0,urn:lsid:nmbe.ch:spidersp:015191,Unknown,Female,2017-05-25,Japan,14.0,0.175,0.059,6.85,1.22,0.98,0.1,32.9,6.4,229.0,284.0,303.0,19.0,33.4,0.5,7.95,0.07,10.4,45.8,3.3,0.0
192,5532-W1_S4,5532.0,DRR165465,-,Neoscona,Araneidae,6.941822432529182,5.813544185045014,1.0,5.356121972390922,1.584962500721156,5.087462841250339,13.219831356733764,Neoscona,sp. (OTU0257),2507266.0,,Unknown,Female,2017-06-10,China,,0.06,0.014,2.9,0.78,0.82,0.14,19.1,2.8,,,,13.0,30.9,5.1,0.8,0.04,,,,0.0
193,5556-W1_S6,5556.0,DRR165467,scylloides,Neoscona,Araneidae,15.55775098907564,17.32221768264936,12.5752826658545,14.108124813944483,6.6914043500243805,11.657409111140142,14.74407604073004,Neoscona,scylloides,1112446.0,urn:lsid:nmbe.ch:spidersp:016751,Unknown,Female,2017-06-10,China,7.0,0.149,0.046,4.92,1.46,1.0,0.09,28.4,5.2,223.0,293.0,311.0,10.0,54.2,8.9,0.45,0.03,2.5,,,5.0
194,5564-W1_S7,5564.0,DRR165468,-,Araneus,Araneidae,8.697314113810421,9.035055501625871,4.902282489586569,9.013285317819143,1.584962500721156,7.423872175851557,13.378528251589795,Araneus,sp. (OTU0080),2507252.0,,Unknown,Unknown,2017-06-10,China,,0.267,0.136,4.61,1.13,1.97,0.19,31.3,11.9,263.0,297.0,311.0,12.0,70.2,10.7,0.35,0.03,2.1,,,4.0
196,5570-W1_S9,5570.0,DRR165470,-,Neoscona,Araneidae,7.805642734878346,7.490055340470289,3.169925001442312,7.649607986918349,1.0,6.505491820493071,14.459903003150696,Neoscona,sp. (OTU0257),2507266.0,,Unknown,Male,2017-06-10,China,6.0,0.103,0.024,5.42,0.85,1.2,0.17,23.4,4.7,,,,7.0,39.3,11.7,0.69,0.09,,,,4.0
197,5580-W1_S10,5580.0,DRR165471,-,Araneus,Araneidae,7.804074243297709,8.70853996594955,4.222726521124427,6.3471628876239015,1.0,6.879123596855,12.01627697453721,Araneus,sp. (OTU0080),2507252.0,,Unknown,Unknown,2017-06-11,China,,0.074,0.04,4.29,0.66,0.74,0.15,20.3,6.8,,,,9.0,60.8,7.8,0.96,0.04,,,,5.0
203,5654-W1_S1,5654.0,DRR297177,sakiedaorum,Eriovixia,Araneidae,19.75376828982221,15.300207663604098,7.68754470245201,18.12348557572157,6.832582965863689,11.280340753732942,15.271718071621292,Eriovixia,sakiedaorum,2337407.0,urn:lsid:nmbe.ch:spidersp:015903,Unknown,Male,2017-06-27,Japan,3.0,0.118,0.032,6.53,1.26,1.16,0.14,18.9,3.8,,,,,43.7,6.8,0.54,0.02,,,,4.0
209,5803-W1_S1,5803.0,DRR297218,nagasakiensis,Cyrtarachne,Araneidae,18.04645961734453,17.870469318287242,6.303780748177103,8.64748278333085,6.449203134050641,10.823486186862176,12.311719806244918,Cyrtarachne,nagasakiensis,386110.0,urn:lsid:nmbe.ch:spidersp:015776,Unknown,Female,2017-07-11,Japan,5.0,0.157,0.034,9.52,1.63,1.53,0.07,19.2,4.0,205.0,275.0,295.0,,69.4,11.4,0.33,0.03,5.8,,,0.0
212,5816-W1_S6,5816.0,DRR296473,argiopiformis,Larinia,Araneidae,16.812610714900472,15.70058382205529,6.511798344974445,13.827640422902252,6.507794640198696,14.532227209929742,13.59611927691708,Larinia,argiopiformis,1112526.0,urn:lsid:nmbe.ch:spidersp:016286,Unknown,Female,2017-07-11,Japan,12.0,0.286,0.117,9.92,1.15,2.45,0.52,27.2,5.5,212.0,276.0,297.0,8.0,43.1,3.7,0.56,0.03,7.1,,,0.0
218,5926-W1_S3,5926.0,DRR297573,x-notata,Zygiella,Araneidae,18.392209404906364,14.762116241282827,11.215502665216468,16.120420147040573,16.120379644653124,11.543170270495056,13.15776136464095,Zygiella,x-notata,389061.0,urn:lsid:nmbe.ch:spidersp:017187,Unknown,Unknown,2017-07-22,United Kingdom,6.0,0.079,0.028,5.87,1.45,0.75,0.12,14.7,4.8,,,,,67.3,11.9,0.57,0.03,,,,3.0
223,5996-W1_S18,5996.0,DRR296736,umbratica,Nuctenea,Araneidae,17.084181772347,18.670256081536102,8.59039509695574,10.30813553662369,6.409390936137702,11.38675937278882,13.111675617397552,Nuctenea,umbratica,1872065.0,urn:lsid:nmbe.ch:spidersp:016784,Unknown,Female,2017-07-23,United Kingdom,,0.216,0.069,28.6,1.7,2.21,0.36,15.5,4.8,222.0,277.0,299.0,34.0,38.3,6.3,0.43,0.04,6.6,,,0.0
224,6019-W1_S22,6019.0,DRR297274,cornutus,Larinioides,Araneidae,16.747196555024292,19.011266217287847,14.97982734679056,13.300270887290443,6.894817763307944,11.309720338856415,13.80222052340128,Larinioides,cornutus,336591.0,urn:lsid:nmbe.ch:spidersp:016288,Unknown,Female,2017-07-24,United Kingdom,,0.102,0.038,10.7,1.46,1.25,0.2,15.2,3.6,230.0,283.0,298.0,24.0,44.0,7.3,1.74,0.19,6.6,47.3,3.5,0.0
226,6054-W1_S3,6054.0,DRR296675,diadematus,Araneus,Araneidae,15.22246187106182,20.154291352625435,14.299552797777276,14.489336674992009,7.139551352398794,15.047451047142808,16.050376176193375,Araneus,diadematus,45920.0,urn:lsid:nmbe.ch:spidersp:014834,Unknown,Female,2017-07-25,United Kingdom,11.0,0.082,0.02,6.0,1.22,1.08,0.11,17.8,1.3,240.0,283.0,299.0,13.0,37.6,4.8,1.39,0.04,10.6,38.9,5.1,0.0
230,6129-W1_S14,6129.0,DRR296917,dispar,Zygiella,Araneidae,18.116617521882784,14.831925569460696,8.330916878114618,15.47137542398911,15.471121353220118,16.130060790440687,14.178968987921197,Zygiella,dispar,2175612.0,urn:lsid:nmbe.ch:spidersp:017170,Unknown,Female,2017-08-07,Japan,5.0,0.102,0.04,10.4,1.82,1.63,0.18,13.2,2.3,,,,,60.0,12.2,0.36,0.03,,,,3.0
233,6323-W1_S17,6323.0,DRR296776,omonaga,Cyclosa,Araneidae,11.884251005611588,16.948281200853337,11.795601581345537,9.326429261691072,4.807354905724235,10.222604137909016,14.246031638355747,Cyclosa,omonaga,1933405.0,urn:lsid:nmbe.ch:spidersp:015675,Unknown,Female,2017-09-12,Japan,7.0,0.153,0.073,5.35,0.98,1.33,0.47,27.1,5.8,,,,,41.6,4.6,0.62,0.05,,,,0.0
234,6327-W1_S18,6327.0,DRR296520,japonica,Cyclosa,Araneidae,12.993524209039087,17.781710077078355,14.175507826175773,11.646197482849862,6.438073407689861,9.482123573407248,14.938762708314792,Cyclosa,japonica,1112403.0,urn:lsid:nmbe.ch:spidersp:015637,Unknown,Female,2017-09-12,Japan,7.0,0.143,0.062,17.3,4.1,2.42,0.59,12.3,2.8,212.0,276.0,297.0,25.0,50.4,10.6,0.54,0.04,6.5,,,0.0
237,65-W8_S10,65.0,DRR297546,aemula,Argiope,Araneidae,11.441986476002374,13.81662086069398,6.044394119358453,6.539158811108031,6.539158811108031,10.976618133893435,15.912548378000391,Argiope,aemula,332528.0,urn:lsid:nmbe.ch:spidersp:015339,Unknown,Female,2014-12-08,Japan,,0.245,0.094,6.5,1.4,1.74,0.8,32.7,7.4,,,,,37.2,17.1,1.89,0.18,,,,0.0
240,6677-W1_S2,6677.0,DRR297741,brouni,Backobourkia,Araneidae,15.392856343734843,17.062574687390104,9.928943763292388,13.598171111577663,6.599912842187128,13.798039354355724,15.06883321012115,Backobourkia,brouni,2337322.0,urn:lsid:nmbe.ch:spidersp:043116,Unknown,Unknown,2017-10-29,Australia,8.0,0.212,0.104,5.77,1.65,1.6,0.5,25.6,5.3,,,,,80.0,13.5,0.64,0.05,,,,0.0
241,6700-W1_S10,6700.0,DRR297964,-,Eriophora,Araneidae,13.453790989210583,15.753111731346852,10.216729054943446,10.240404017904163,6.518459603233013,10.502676832369458,18.52638927879089,Eriophora,sp. (OTU0926),2337405.0,,Unknown,Female,2017-10-30,Australia,15.0,0.154,0.032,5.76,0.17,1.04,0.29,24.0,8.8,217.0,276.0,298.0,16.0,50.8,8.2,0.42,0.02,5.4,45.7,5.6,0.0
243,6713-W1_S13,6713.0,DRR297419,transmarina,Eriophora,Araneidae,13.947556008435807,14.88851345583214,9.534585240122045,8.797661527024506,6.375039437623813,11.61640098220979,15.77892787676203,Eriophora,transmarina,2115798.0,urn:lsid:nmbe.ch:spidersp:015889,Unknown,Male,2017-10-30,Australia,12.0,0.273,0.072,13.7,1.31,1.93,0.36,25.6,3.0,223.0,285.0,302.0,19.0,78.7,2.9,1.43,0.03,3.4,39.9,7.1,4.0
245,6727-W1_S17,6727.0,DRR296458,keyserlingi,Argiope,Araneidae,13.141095201010913,17.486081268118575,8.808462615287256,6.906890355159325,6.459431618637297,11.180426676714625,14.643062047334167,Argiope,keyserlingi,332532.0,urn:lsid:nmbe.ch:spidersp:015377,Unknown,Female,2017-10-30,Australia,10.0,0.368,0.122,31.7,9.7,2.45,0.43,22.4,6.9,216.0,274.0,297.0,20.0,42.7,6.6,0.43,0.03,7.4,,,0.0
246,6748-W1_S21,6748.0,DRR297943,australasia,Poecilopachys,Araneidae,17.807350263733497,17.61009513063669,8.531481275963403,7.408981976595326,6.440013793626166,13.519032994311232,13.014584429953644,Poecilopachys,australasia,386120.0,urn:lsid:nmbe.ch:spidersp:016935,Unknown,Female,2017-10-30,Australia,7.0,0.123,0.003,7.89,1.14,0.95,0.05,23.7,0.8,208.0,268.0,292.0,19.0,51.2,4.2,1.49,0.03,9.4,43.0,6.7,0.0
247,6755-W1_S22,6755.0,DRR297580,plumipes,Trichonephila,Araneidae,15.44761974738543,17.752502451587194,8.948367231584678,12.854185781176591,12.84362584757977,11.998486267325845,12.049978425552537,Trichonephila,plumipes,941800.0,urn:lsid:nmbe.ch:spidersp:013971,Unknown,Female,2017-10-31,Australia,16.0,0.135,0.069,7.81,1.38,0.81,0.22,28.2,7.6,233.0,285.0,304.0,19.0,31.9,2.7,1.25,0.04,8.2,8.9,1.1,3.0
248,6762-W1_S23,6762.0,DRR296859,plumipes,Trichonephila,Araneidae,15.605571533672729,18.11708433470223,8.64451446142559,13.192645957243183,13.181973933474463,10.115501122696047,11.783333548435966,Trichonephila,plumipes,941800.0,urn:lsid:nmbe.ch:spidersp:013971,Unknown,Female,2017-10-31,Australia,10.0,0.136,0.019,12.1,3.35,1.44,0.06,18.1,4.1,208.0,268.0,297.0,21.0,48.8,0.0,0.46,0.03,9.0,40.3,5.4,3.0
249,6767-W1_S24,6767.0,DRR297150,-,Arkys,Araneidae,13.851397620224043,12.59683593909708,8.966810679754575,8.023278416297565,7.367756756289271,9.49361859028835,20.537344187774885,Arkys,sp. (OTU0789),2337315.0,,Unknown,Unknown,2017-10-31,Australia,,0.226,0.074,9.59,1.49,1.51,0.13,25.4,5.8,,,,,45.1,8.0,0.55,0.04,,,,4.0
252,6784-W1_S5,6784.0,DRR297018,eburnus,Plebs,Araneidae,13.765213975627717,15.833570010098796,10.51502809949776,6.719681133888015,6.321928094887363,13.180518521385736,13.751410106016786,Plebs,eburnus,2115801.0,urn:lsid:nmbe.ch:spidersp:014852,Unknown,Female,2017-10-31,Australia,6.0,0.112,0.066,7.93,1.01,1.17,0.32,17.4,7.6,203.0,271.0,298.0,26.0,66.8,8.3,0.37,0.02,13.0,,,0.0
253,6786-W1_S9,6786.0,DRR297789,-,Cyclosa,Araneidae,13.487718010070765,15.31882615911853,12.8634395476863,8.912366938166441,6.6865005271832185,9.80813048241598,18.634481424330296,Cyclosa,sp. (OTU0457),2337387.0,,Unknown,Female,2017-10-31,Australia,7.0,0.054,0.018,8.38,1.49,1.0,0.17,10.8,3.1,194.0,237.0,273.0,17.0,59.7,12.1,0.37,0.04,12.2,,,4.0
257,6796-W1_S7,6796.0,DRR297688,keyserlingi,Argiope,Araneidae,13.57700120338748,17.522795588312405,8.341524605132857,7.189824558880018,6.321928094887363,11.360748759532669,14.70853529810925,Argiope,keyserlingi,332532.0,urn:lsid:nmbe.ch:spidersp:015377,Unknown,Female,2017-10-31,Australia,9.0,0.202,0.046,11.6,1.08,1.59,0.05,19.9,4.6,214.0,277.0,299.0,22.0,42.3,3.9,0.66,0.03,9.8,33.4,5.4,0.0
258,6816-W1_S16,6816.0,DRR297225,pustulosa,Eriophora,Araneidae,16.656407760490644,16.630201798209146,12.066465941592238,11.036173653773345,6.392317422778761,13.614204333654024,15.583411182069591,Eriophora,pustulosa,693724.0,urn:lsid:nmbe.ch:spidersp:015885,Unknown,Female,2017-11-04,Australia,6.0,0.141,0.04,7.61,0.39,1.27,0.21,23.5,0.2,216.0,279.0,297.0,27.0,35.0,4.1,0.82,0.05,6.9,,,0.0
259,6821-W1_S17,6821.0,DRR297668,-,-,Araneidae,13.764301422882316,12.758358689260264,8.142392503939064,10.936250589635208,6.266786540694901,9.955862082872782,18.395157355861908,Gen.,sp. (OTU0726),2337815.0,,Unknown,Female,2017-11-04,Australia,7.0,0.125,0.068,14.5,5.81,2.27,0.75,13.0,2.7,,,,,44.1,6.6,0.55,0.03,,,,0.0
261,6838-W1_S23,6838.0,DRR297178,-,Cryptaranea,Araneidae,13.51699879364574,17.087032328671057,12.381254310222054,8.42131264613496,6.437841938920096,12.16191823194353,18.44281089935369,Cryptaranea,sp. (OTU0455),2337743.0,,Unknown,Female,2017-11-05,Australia,,0.106,0.023,8.73,2.12,1.09,0.13,18.7,3.8,197.0,268.0,293.0,27.0,32.9,7.1,2.13,0.07,18.4,,,0.0
262,6843-W1_S24,6843.0,DRR296877,pustulosa,Eriophora,Araneidae,14.667179207211031,15.187473036693431,9.744133203645267,9.734709789556232,6.870364719583405,11.974655814536996,14.39296507791629,Eriophora,pustulosa,693724.0,urn:lsid:nmbe.ch:spidersp:015885,Unknown,Female,2017-11-05,Australia,,0.165,0.052,15.3,2.12,1.41,0.19,18.1,3.7,212.0,279.0,300.0,21.0,58.4,9.5,0.57,0.03,10.0,4.2,1.5,0.0
265,6849-W1_S4,6849.0,DRR297520,-,Plebs,Araneidae,13.310582961949557,14.3786451439308,12.04710809573296,6.459788805382206,6.247927513443585,12.482122705516714,18.199451530332134,Plebs,sp. (OTU0517),2337612.0,,Unknown,Female,2017-11-05,Australia,8.0,0.142,0.05,8.65,2.09,1.6,0.13,18.9,5.6,,,,,59.7,5.1,0.41,0.02,,,,0.0
267,6965-W1_S21,6965.0,DRR297792,pygmaea,Hypsosinga,Araneidae,13.440856843932648,18.797226176580622,8.455015589182473,6.539158817095991,6.523561962110059,10.310868922663538,13.0058980275998,Hypsosinga,pygmaea,336661.0,urn:lsid:nmbe.ch:spidersp:016190,Unknown,Female,2017-12-08,Japan,3.0,0.118,0.019,10.9,4.11,1.45,0.07,18.2,4.4,,,,,46.1,6.7,0.45,0.04,,,,0.0
268,7298-W1_S3,7298.0,DRR168614,darwini,Caerostris,Araneidae,16.493221716889902,16.353573035903395,15.58408802689248,6.426264754702098,6.426264754702098,10.92516184640645,12.090829154624457,Caerostris,darwini,1538125.0,urn:lsid:nmbe.ch:spidersp:043500,Unknown,Female,2018-10-25,Madagascar,15.0,0.217,0.084,8.21,1.02,1.15,0.23,30.5,6.2,212.0,275.0,296.0,28.0,38.0,1.6,3.47,0.11,4.8,45.5,3.8,3.0
269,7302-W1_S2,7302.0,DRR168615,livida,Nephilingis,Araneidae,17.281793445922915,16.2353714178474,7.417852514885898,11.081657316640287,11.074316228380832,12.14645573127181,11.54290000986521,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,25.0,0.25,0.057,13.1,1.6,1.9,0.2,23.7,2.9,236.0,292.0,309.0,30.0,51.9,6.2,3.96,0.19,4.6,27.2,9.0,3.0
270,7303-W1_S15,7303.0,DRR168616,livida,Nephilingis,Araneidae,17.250140255995706,16.577976893692867,7.22881869049588,11.421038007335168,11.415767011908024,11.035197661184732,11.510373980889144,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,25.0,0.181,0.052,8.78,2.15,1.63,0.17,22.5,5.6,223.0,282.0,303.0,33.0,45.4,6.0,3.86,0.2,4.9,,,3.0
271,7304-W1_S14,7304.0,DRR168619,livida,Nephilingis,Araneidae,16.936018297823388,16.33908557570635,7.260352879460974,10.815482215507249,10.813078555897324,11.884928837686727,10.884873712746526,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,24.0,0.39,0.127,16.9,6.52,2.97,0.17,21.4,6.0,236.0,290.0,307.0,35.0,40.9,11.6,3.37,0.43,5.8,22.1,2.5,3.0
