Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,MaSp2,MaSp3,MaSp2B,MaSp3B,AcSp,AgSp1,AgSp2,PySp,CySp,Flag,Spidroin,sp.,family,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd
59,3830-W1_S2,3830.0,DRR297130,clavipes,Trichonephila,Araneidae,18.907823200655777,17.61523800315683,8.265364785750307,17.61393683566382,15.563432189352218,15.94694830288278,11.567953914875858,14.20598912913836,11.579167951699224,17.22382600167971,8.977832459623036,13.764079942720185,Araneidae,Trichonephila,clavipes,6915.0,urn:lsid:nmbe.ch:spidersp:013943,Unknown,Male,2016-07-01,United States,6.0,0.131,0.036,10.4,2.86,1.56,0.24,17.1,3.2,,,,12.0,58.9,12.6,0.8,0.04,,,
60,3835-W1_S3,3835.0,DRR296836,-,Parasteatoda,Theridiidae,11.970498021572515,11.401944737742634,8.741466986401146,7.179909116808627,10.28886542950818,9.387223261615773,7.930736746294306,7.296720409096254,11.131214061383586,10.015414520899492,11.355663677516532,18.463304496118432,Theridiidae,Parasteatoda,sp. (OTU0819),2337568.0,,Unknown,Female,2016-07-01,United States,7.0,0.131,0.036,10.4,2.86,0.81,0.08,8.9,2.0,209.0,258.0,282.0,24.0,37.2,7.2,2.25,0.25,8.6,,
62,3857-W1_S14,3857.0,DRR297931,-,Neoscona,Araneidae,13.012679475952698,12.572752633351008,9.050288093441605,5.584962500721156,13.184242530466122,9.865985366355138,9.620826304533205,12.747884079035131,6.894817884542816,11.044766319007843,11.404890826444399,19.339982359485358,Araneidae,Neoscona,sp. (OTU0133),2337506.0,,Unknown,Female,2016-07-01,United States,10.0,0.13,0.014,6.84,1.52,0.97,0.13,30.8,4.3,248.0,294.0,309.0,22.0,30.6,7.9,2.07,0.41,3.8,,
63,3860-W1_S15,3860.0,DRR296658,-,Neoscona,Araneidae,14.2448897904359,12.322266271206692,8.053518775087815,5.754887502163468,13.451487319044821,10.553798838536029,9.659386218729669,14.453504845924245,6.569855608330948,12.251211477353687,12.280553513936722,20.610193440381316,Araneidae,Neoscona,sp. (OTU0133),2337506.0,,Unknown,Male,2016-07-01,United States,10.0,0.087,0.028,24.1,9.16,1.68,0.36,8.7,0.5,203.0,273.0,297.0,25.0,28.3,7.3,1.28,0.17,8.1,,
64,3868-W1_S16,3868.0,DRR297713,lemniscata,Mecynogea,Araneidae,16.20040811971048,6.8579809924038635,6.475733430966398,6.40939093242064,15.54721409753375,3.169925001442312,7.994353436858858,15.408212271846503,19.090708038488444,6.620732136675166,9.248911668229727,13.977766414265194,Araneidae,Mecynogea,lemniscata,329906.0,urn:lsid:nmbe.ch:spidersp:016398,Unknown,Female,2016-07-02,United States,7.0,0.077,0.051,7.63,3.58,1.01,0.33,11.2,2.2,215.0,285.0,316.0,24.0,54.6,7.9,0.69,0.02,4.5,,
65,3875-W1_S1,3875.0,DRR297497,lemniscata,Mecynogea,Araneidae,18.745802979341775,6.169924991581011,7.417852514885898,5.672425328049658,16.331268168731295,6.392317424219214,9.490850876740298,15.676544270132974,8.897843907451513,9.02790493540049,9.61827202370026,12.99350955808828,Araneidae,Mecynogea,lemniscata,329906.0,urn:lsid:nmbe.ch:spidersp:016398,Unknown,Unknown,2016-07-02,United States,6.0,0.152,0.005,7.76,2.11,1.4,0.16,17.6,3.2,,,,9.0,28.4,7.4,0.75,0.03,,,
67,3883-W1_S18,3883.0,DRR297535,cornutus,Larinioides,Araneidae,15.402329139686199,11.262736578558284,10.224001312318032,5.20945336562895,15.29653588192912,14.8659276316622,12.630607390261009,13.613903800658994,17.411883353584923,15.610848082107934,10.110915622894055,11.804651480279658,Araneidae,Larinioides,cornutus,336591.0,urn:lsid:nmbe.ch:spidersp:016288,Unknown,Female,2016-07-02,United States,14.0,0.139,0.017,15.4,3.09,1.82,0.12,15.3,1.3,224.0,281.0,300.0,24.0,36.5,0.8,2.84,0.02,9.9,34.1,3.4
68,3897-W1_S20,3897.0,DRR296775,anastera,Eustala,Araneidae,17.761795230130733,6.6268683768257075,7.473111472257916,6.5365098885681014,17.638866724133685,17.278658246393437,13.538627349061148,13.368156366323593,16.4683535759119,17.096036414106894,11.045254980875528,14.940233797276521,Araneidae,Eustala,anastera,336652.0,urn:lsid:nmbe.ch:spidersp:015911,Unknown,Female,2016-07-02,United States,7.0,0.025,0.008,4.21,0.52,0.45,0.17,9.9,1.3,,,,,40.9,5.8,1.25,0.08,,,
69,3899-W1_S21,3899.0,DRR297394,-,Neoscona,Araneidae,14.362768773263321,11.850490570937732,8.161605916268366,5.426264754715518,13.473543623939076,10.99552297708428,9.124292814288973,14.047689460749424,3.9068905956085187,12.748266467495453,12.353297859876474,20.36604479568133,Araneidae,Neoscona,sp. (OTU0133),2337506.0,,Unknown,Female,2016-07-02,United States,11.0,0.046,0.008,4.23,0.31,0.59,0.05,17.0,0.6,227.0,278.0,297.0,20.0,33.4,5.0,2.07,0.02,12.3,,
70,3900-W1_S22,3900.0,DRR297665,anastera,Eustala,Araneidae,14.747196576595254,5.614709844115208,6.741466986401147,5.523561956057013,16.936951972194812,15.544904080413898,11.338736382573916,13.94663103804564,18.6516368542649,15.45318105997447,9.776945130423591,13.27072449814509,Araneidae,Eustala,anastera,336652.0,urn:lsid:nmbe.ch:spidersp:015911,Unknown,Female,2016-07-02,United States,9.0,0.106,0.019,8.17,1.19,0.91,0.07,18.0,3.7,,,,12.0,37.4,9.6,1.19,0.14,,,
72,3910-W1_S4,3910.0,DRR297297,tepidariorum,Parasteatoda,Theridiidae,17.96782919391831,7.018457253346085,8.189824558880018,6.22203363514722,12.068773644831357,11.923084394598352,8.764868274191954,13.241238886374077,12.480032776931223,11.109352140291431,9.049810467242999,13.158013482349384,Theridiidae,Parasteatoda,tepidariorum,114398.0,urn:lsid:nmbe.ch:spidersp:006870,Unknown,Female,2016-07-02,United States,7.0,0.159,0.013,17.3,3.92,1.65,0.17,15.9,2.6,198.0,264.0,292.0,10.0,44.7,5.5,1.67,0.13,11.7,,
74,3943-W1_S1,3943.0,DRR297033,-,Tetragnatha,Tetragnathidae,13.035972844646867,7.339849735718852,7.39013885494641,7.321927824382017,3.9068905956085187,8.08857705722022,10.318906180739202,1.584962500721156,7.804504782472029,7.939279309983861,10.82145278287477,18.477507935502157,Tetragnathidae,Tetragnatha,sp. (OTU0935),2337675.0,,Unknown,Female,2016-07-03,United States,11.0,0.148,0.037,4.89,3.69,1.3,0.14,23.8,3.4,,,,12.0,44.6,10.3,0.79,0.05,,,
75,3959-W1_S4,3959.0,DRR297125,labyrinthea,Metepeira,Araneidae,16.659943300249463,7.794416127834861,7.179909487999718,7.707359409830238,15.845766235930945,14.578215431861366,11.076815597050832,13.194910717275365,1.584962500721156,13.373044514885454,10.787895377133545,15.0620559851237,Araneidae,Metepeira,labyrinthea,472973.0,urn:lsid:nmbe.ch:spidersp:016515,Unknown,Unknown,2016-07-04,United States,4.0,0.126,0.042,4.04,1.51,1.26,0.15,20.3,2.5,263.0,292.0,307.0,10.0,61.7,11.3,0.7,0.03,15.6,,
76,3964-W1_S5,3964.0,DRR296814,tepidariorum,Parasteatoda,Theridiidae,17.57456526069596,7.861022485896649,6.9886846867721655,7.573568564151144,12.60221772950198,12.184780461209227,5.169925001442312,11.11178705128671,13.06791340084434,10.646558797454245,7.131702344791159,13.623959946194017,Theridiidae,Parasteatoda,tepidariorum,114398.0,urn:lsid:nmbe.ch:spidersp:006870,Unknown,Female,2016-07-04,United States,7.0,0.196,0.045,9.12,2.02,1.35,0.25,24.8,2.5,,,,12.0,40.5,4.0,1.32,0.03,,,
78,4023-W1_S4,4023.0,DRR296634,punctigera,Neoscona,Araneidae,19.951288673591744,16.71000214144724,9.648313536441986,9.879110326510963,20.31082577495819,18.390698904750806,15.36618017624974,16.949429190210296,4.80735470004743,20.322140150211457,13.118331019666472,17.72217129933625,Araneidae,Neoscona,punctigera,1112444.0,urn:lsid:nmbe.ch:spidersp:016743,Unknown,Unknown,2016-07-13,Japan,6.0,0.162,0.054,4.25,1.48,1.08,0.15,32.7,6.2,,,,,35.1,1.9,1.85,0.05,,,
80,4039-W1_S9,4039.0,DRR297775,scylloides,Neoscona,Araneidae,17.215897376294365,11.918662096586624,9.97540318609088,5.882643147171671,17.01800528291308,17.662998920159826,14.406343655705747,14.983476876826346,18.205386415688388,17.73051107268411,12.292666713464827,15.144961756965206,Araneidae,Neoscona,scylloides,1112446.0,urn:lsid:nmbe.ch:spidersp:016751,Unknown,Female,2016-07-14,Japan,11.0,0.126,0.035,3.21,0.71,0.77,0.24,35.4,4.8,215.0,283.0,301.0,21.0,37.0,7.3,2.85,0.25,3.1,,
82,4109-W1_S11,4109.0,DRR296549,kompirensis,Metleucauge,Tetragnathidae,13.120117149955396,6.21467018245296,7.199672344836364,5.937063500710781,4.954196310386875,16.871485793112015,14.006413403818948,13.207776964928014,13.38653614792914,17.78306061490476,10.653892496396056,12.795202073733414,Tetragnathidae,Metleucauge,kompirensis,2337484.0,urn:lsid:nmbe.ch:spidersp:013928,Unknown,Female,2016-07-28,Japan,,0.078,0.028,5.65,1.09,0.94,0.33,16.5,2.9,204.0,247.0,271.0,23.0,36.7,8.6,1.24,0.05,5.6,,
85,4143-W1_S14,4143.0,DRR296503,scintillans,Chrysso,Theridiidae,19.246100968172083,7.000000011271055,7.214786439438303,6.727920468173529,11.179287104959537,16.953013884849405,7.592457037268081,14.363720012433918,5.976737391066279,11.262860040831624,8.18629630465527,19.89296497146688,Theridiidae,Chrysso,scintillans,2337345.0,urn:lsid:nmbe.ch:spidersp:007269,Unknown,Female,2016-07-29,Japan,9.0,0.109,0.012,6.2,0.45,0.78,0.18,34.7,3.8,,,,12.0,34.6,4.6,1.1,0.08,,,
87,4211-W1_S16,4211.0,DRR296777,angulithorax,Parasteatoda,Theridiidae,18.721026985897183,6.725227588894257,7.044128507867755,6.244134888726566,11.923092983844175,10.898809951716101,5.169925001442312,14.681073278763224,13.78981995242302,10.033423937982375,8.196195527645838,14.673120811775394,Theridiidae,Parasteatoda,angulithorax,2337565.0,urn:lsid:nmbe.ch:spidersp:006749,Unknown,Female,2016-08-04,Japan,4.0,0.192,0.078,6.59,1.96,2.18,0.74,20.8,5.0,,,,12.0,77.0,11.9,0.58,0.04,,,
93,4275-W1_S22,4275.0,DRR297083,margarita,Enoplognatha,Theridiidae,10.723967926807301,7.159871336778389,6.741466986401147,5.285402218862249,8.569855608375331,11.407798859779763,5.459431585848773,12.467511303857426,12.751286281939008,8.848622760967636,6.768184324776926,13.31872398735209,Theridiidae,Enoplognatha,margarita,932962.0,urn:lsid:nmbe.ch:spidersp:007566,Unknown,Female,2016-08-05,Japan,4.0,0.037,0.006,14.2,2.06,0.98,0.22,7.0,2.0,,,,,57.6,18.1,0.43,0.02,,,
94,4277-W1_S23,4277.0,DRR297667,foliata,Chrysso,Theridiidae,20.760616471561217,9.03897110090964,7.022367813028454,9.0224205259227,15.041789278760357,15.384852389101201,7.3706874068072175,15.560630033411066,12.860893191790433,11.570804445551882,8.547470211023688,13.423298166402077,Theridiidae,Chrysso,foliata,2337344.0,urn:lsid:nmbe.ch:spidersp:037393,Unknown,Female,2016-08-05,Japan,3.0,0.053,0.015,4.07,0.76,0.58,0.09,17.0,2.1,,,,19.0,44.0,7.1,1.09,0.06,,,
98,4419-W1_S7,4419.0,DRR297465,hamulata,Cyclosa,Araneidae,18.770657844309827,12.118795595673225,12.710328044173858,6.93615734853431,13.19066576886436,15.33744682166309,13.569736924460349,12.61016674274664,17.914465023676165,16.067664915975627,11.087723777197667,13.977169310310448,Araneidae,Cyclosa,hamulata,2337382.0,urn:lsid:nmbe.ch:spidersp:015627,Unknown,Female,2016-09-28,Japan,10.0,0.03,0.014,1.68,0.2,0.33,0.06,16.7,4.6,,,,,42.5,4.1,1.18,0.05,,,
99,4426-W1_S4,4426.0,DRR297809,mitificus,Araneus,Araneidae,20.507657613201577,11.436435628953243,16.318159402927257,8.461371844826363,16.54912094961831,17.573965411496143,14.68264939975971,17.538278513768986,18.799769345379858,19.029074958757942,15.4912229405322,16.63231356911054,Araneidae,Araneus,mitificus,1662246.0,urn:lsid:nmbe.ch:spidersp:015032,Unknown,Female,2016-09-28,Japan,8.0,0.239,0.099,9.01,3.46,1.05,0.29,34.3,10.1,224.0,277.0,298.0,16.0,39.5,9.1,0.68,0.04,4.8,,
100,4440-W1_S18,4440.0,DRR297182,variegatus,Araneus,Araneidae,17.085346858307535,16.41524658894356,13.294229643399282,5.954196310386875,16.437496550115004,16.73489934031441,14.537789038422293,17.09443997685853,11.703470802440316,16.892281421440767,12.730876839629298,15.958968973423453,Araneidae,Araneus,variegatus,1112387.0,urn:lsid:nmbe.ch:spidersp:015276,Unknown,Female,2016-09-29,Japan,11.0,0.154,0.044,4.85,1.52,1.2,0.11,27.3,3.6,216.0,285.0,300.0,12.0,42.1,8.0,1.79,0.04,2.2,,
101,4450-W1_S5,4450.0,DRR297762,japonica,Nihonhimea,Theridiidae,10.948099775232787,7.076815597050831,8.778077129535358,7.076815597050831,8.40514180359531,11.427136441286677,6.6865005271832185,12.14306428063141,7.658211982695534,8.370687406807217,8.572360077903344,11.873641116614587,Theridiidae,Nihonhimea,japonica,2337769.0,urn:lsid:nmbe.ch:spidersp:006803,Unknown,Female,2016-10-10,Japan,3.0,0.09,0.007,4.64,2.43,1.0,0.04,20.2,1.9,,,,,33.5,4.2,0.59,0.02,,,
104,4487-W1_S15,4487.0,DRR296623,macacus,Araneus,Araneidae,17.16004739359895,13.068840890800436,10.503727169345709,6.129283016944966,17.191839131373513,13.957014307905329,12.793934507548336,14.921320242619158,19.20096569084404,16.289292889393888,11.580081295673974,15.644746321696251,Araneidae,Araneus,macacus,2337292.0,urn:lsid:nmbe.ch:spidersp:014996,Unknown,Female,2016-10-11,Japan,,0.084,0.025,6.41,1.35,1.04,0.15,17.9,3.8,220.0,281.0,303.0,20.0,35.8,3.5,2.44,0.13,2.6,33.3,2.0
107,4529-W1_S23,4529.0,DRR296507,sterninotata,Platnickina,Theridiidae,15.116676355389076,11.083980964263985,8.535275376620802,10.884165876447257,16.691593887822116,11.898978040341836,10.066089378869426,14.528726028757463,14.064826973847689,12.767252199615005,11.461235941378112,15.484477223342543,Theridiidae,Platnickina,sterninotata,2337608.0,urn:lsid:nmbe.ch:spidersp:008702,Unknown,Female,2016-10-11,Japan,2.0,0.094,0.039,10.7,1.3,1.14,0.02,11.3,0.5,,,,,21.7,3.3,0.63,0.04,,,
112,4682-W1_S8,4682.0,DRR297427,clavata,Trichonephila,Araneidae,15.81118766700299,11.959639695543682,8.098032082960527,11.959639695543682,13.325306087603932,14.168280763168616,11.333158084718393,14.481105929607669,18.697454369727566,14.626904933669199,7.99009489059644,10.985413285652806,Araneidae,Trichonephila,clavata,70342.0,urn:lsid:nmbe.ch:spidersp:013940,Unknown,Female,2016-11-02,China,,0.092,0.024,9.05,2.08,1.12,0.14,16.9,2.7,239.0,285.0,304.0,15.0,52.6,10.9,2.68,0.03,5.1,,
113,4683-W1_S9,4683.0,DRR297944,clavata,Trichonephila,Araneidae,17.314316392881526,12.339593067690178,7.588853577286623,12.339015052979637,14.248297920255709,15.41501456462145,10.08348039106973,14.67645090996179,19.636483525548808,13.367872060731399,9.66866085286699,11.401510706015475,Araneidae,Trichonephila,clavata,70342.0,urn:lsid:nmbe.ch:spidersp:013940,Unknown,Female,2016-11-02,China,,0.246,0.024,15.7,3.08,2.22,0.15,21.5,1.3,,,,15.0,42.6,4.9,2.26,0.06,,46.0,1.2
114,4734-W1_S15,4734.0,DRR297452,flavescens,Argyrodes,Theridiidae,13.626660539776196,9.077237818572335,8.413627929024173,8.640789622514204,15.706469496100896,11.707788313154404,12.63185912728278,15.877259579414988,19.471938264036407,7.839203788096944,13.007836300792318,15.276120372115441,Theridiidae,Argyrodes,flavescens,202203.0,urn:lsid:nmbe.ch:spidersp:007044,Unknown,Female,2016-11-07,Japan,4.0,0.14,0.051,2.44,0.63,1.23,0.17,30.9,7.4,189.0,207.0,261.0,19.0,72.7,9.1,0.65,0.04,3.9,,
115,4735-W1_S25,4735.0,DRR296860,makiharai,Tetragnatha,Tetragnathidae,14.814072473647354,6.741466990446086,7.169925001442312,6.108524463050756,12.675926415205675,15.148495741147123,11.028120915175055,6.405623132215034,13.25331858338051,13.74892702375098,10.989002780567406,14.372667876122147,Tetragnathidae,Tetragnatha,makiharai,2055958.0,urn:lsid:nmbe.ch:spidersp:014250,Unknown,Female,2016-11-07,Japan,7.0,0.058,0.013,5.01,1.2,0.91,0.21,13.2,2.8,196.0,276.0,299.0,16.0,61.9,12.4,0.68,0.04,,,
116,4739-W1_S16,4739.0,DRR296787,mulmeinensis,Cyclosa,Araneidae,20.1854624670155,16.972659509228713,16.37999505653329,7.3614413301926245,14.98156838928564,15.081731165325653,13.098689517753442,15.944849202620837,18.266396139664604,16.73784587270565,11.57615780799945,13.979324651410588,Araneidae,Cyclosa,mulmeinensis,345697.0,urn:lsid:nmbe.ch:spidersp:015662,Unknown,Female,2016-11-07,Japan,4.0,0.088,0.027,3.41,0.03,0.81,0.19,24.5,1.3,235.0,282.0,305.0,15.0,77.9,14.1,0.64,0.05,,31.8,6.8
118,4752-W1_S20,4752.0,DRR296684,viridiventris,Chrysso,Theridiidae,18.344853609999447,7.134734336811682,8.154818109052105,7.103602543905592,16.902348344009823,13.761343456100649,6.700439718141092,9.674192268145683,7.924812978567033,12.851752747685488,9.12662503209907,14.622561464687063,Theridiidae,Chrysso,viridiventris,2337347.0,urn:lsid:nmbe.ch:spidersp:007283,Unknown,Female,2016-11-07,Japan,2.0,0.036,0.012,2.75,0.66,0.65,0.1,14.6,4.0,,,,,42.1,8.0,0.56,0.03,,,
120,4781-W1_S22,4781.0,DRR297129,unicolor,Cyrtophora,Araneidae,18.498424292601964,7.917093521435797,8.121676002987593,7.245108943927622,16.12871436750877,5.672426756377705,5.459431618637297,15.099519372565783,8.317410580029568,6.643856375863618,13.66816870169178,15.782569163586238,Araneidae,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Unknown,2016-11-28,Japan,5.0,0.085,0.01,4.42,1.17,0.76,0.06,18.5,4.9,,,,16.0,47.8,14.9,0.64,0.02,,,
121,4790-W1_S24,4790.0,DRR296949,celebesiana,Leucauge,Tetragnathidae,18.991249463656256,7.908002725170688,9.096122856014178,7.834060653120396,13.039776020554777,17.345366220005804,13.967226793901363,12.807207989099707,18.209325758220498,16.253255842496202,11.219737375591002,14.882636624614275,Tetragnathidae,Leucauge,celebesiana,1112430.0,urn:lsid:nmbe.ch:spidersp:013704,Unknown,Female,2016-11-28,Japan,7.0,0.043,0.014,2.09,0.61,0.53,0.06,18.4,3.7,198.0,245.0,277.0,16.0,25.7,3.7,0.89,0.03,10.6,,3.0
126,4910-W1_S25,4910.0,DRR296789,unicolor,Cyrtophora,Araneidae,17.56758402334511,7.561063054350891,8.397853041605693,6.712121957250136,16.77432393660511,2.807354922057604,5.169925001442312,15.22105186776222,5.044394059202441,6.392317422778761,9.32415827662737,15.328541743252522,Araneidae,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Male,2017-01-24,India,8.0,0.126,0.01,7.13,1.53,1.0,0.11,23.2,2.6,,,,,46.1,3.7,2.08,0.11,,,
127,4911-W1_S27,4911.0,DRR296893,pilipes,Nephila,Araneidae,19.65849357254492,14.479742515919613,8.321957669832559,14.477214509626075,15.5578233516566,16.77411783838082,12.985659153819073,14.255326958347572,6.22881869049588,17.1162252336794,13.823521150962724,13.948986410459352,Araneidae,Nephila,pilipes,299642.0,urn:lsid:nmbe.ch:spidersp:013960,Unknown,Female,2017-01-24,India,24.0,0.089,0.026,5.59,1.75,0.98,0.18,19.5,2.9,217.0,276.0,299.0,19.0,34.7,1.4,1.95,0.05,7.3,35.6,9.9
128,4912-W1_S1,4912.0,DRR296879,pilipes,Nephila,Araneidae,20.17766756548394,16.215353013131214,7.780737121871904,16.214840968477855,15.113234427582261,16.250909764930775,13.492707258145268,14.304138421441259,2.807354922057604,17.27292423850035,12.76108413555601,14.581584350383743,Araneidae,Nephila,pilipes,299642.0,urn:lsid:nmbe.ch:spidersp:013960,Unknown,Female,2017-01-24,India,11.0,0.135,0.079,9.38,4.24,1.17,0.35,19.7,6.6,222.0,280.0,301.0,20.0,55.7,17.6,0.98,0.2,8.4,,
130,4916-W1_S2,4916.0,DRR297531,-,Argiope,Araneidae,15.915039223670268,5.727920454563199,7.531381163463813,5.392317422778761,12.305057703709734,13.940518403087626,8.475790286619723,9.004277302045143,0.0,11.786015845410876,13.508172076864975,19.497574168611983,Araneidae,Argiope,sp. (OTU0362),2337308.0,,Unknown,Female,2017-01-24,India,13.0,0.212,0.055,7.16,2.53,1.52,0.27,31.4,3.6,241.0,287.0,305.0,15.0,33.8,2.1,2.05,0.03,7.6,45.2,14.3
131,4954-W1_S11,4954.0,DRR297092,bifida,Cyclosa,Araneidae,17.57817741638752,10.111465482709153,14.001689724693525,8.004174782593218,12.360573415180031,13.239896146435212,10.850968150982439,12.16236832854006,17.609940691955668,13.786618804796152,8.313616709268883,12.523891780479806,Araneidae,Cyclosa,bifida,2293436.0,urn:lsid:nmbe.ch:spidersp:015579,Unknown,Female,2017-01-24,India,7.0,0.099,0.032,2.49,1.28,1.06,0.44,25.8,3.1,,,,,60.3,12.9,0.75,0.06,,,
132,4959-W1_S4,4959.0,DRR297582,unicolor,Cyrtophora,Araneidae,16.289740032078516,6.705739403455775,7.098876389533034,5.916064380955054,16.745196855494054,0.0,4.954196310386875,15.05336147872434,0.0,5.247927513443585,8.520118613389965,15.04971796674568,Araneidae,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Unknown,2017-01-24,India,7.0,0.089,0.04,6.07,1.1,1.06,0.09,16.5,5.1,,,,24.0,45.4,3.4,1.69,0.04,,,
135,4992-W1_S8,4992.0,DRR296734,-,Argiope,Araneidae,16.514278060097958,5.392317422778761,7.366322124545156,4.754887502163468,13.892659240223985,13.859276176910836,8.189680449398109,8.85176037683256,3.9068905956085187,11.16789311600795,13.422963092700135,19.733559986504098,Araneidae,Argiope,sp. (OTU0362),2337308.0,,Unknown,Female,2017-01-25,India,10.0,0.16,0.049,5.85,0.31,1.32,0.16,24.8,5.8,,,,16.0,37.6,1.8,2.78,0.09,,,
136,5018-W1_S10,5018.0,DRR296908,-,-,Araneidae,14.973426225273407,8.53712663289522,8.47748625573864,6.643856192660115,12.355626459592834,11.94203177509425,12.631855795010253,11.721865387038482,2.0,12.103607218426376,12.596901196176496,19.868400652972152,Araneidae,Gen.,sp. (OTU0124),2337812.0,,Unknown,Unknown,2017-01-25,India,,0.015,0.008,1.01,0.3,0.17,0.05,15.3,2.7,206.0,284.0,306.0,24.0,36.9,25.1,1.58,0.52,10.1,,
137,5019-W1_S14,5019.0,DRR297560,diadesmia,Gasteracantha,Araneidae,18.50394416143233,10.480304405590111,15.350539492203394,7.280890420718295,15.6654108710741,14.875743298460922,11.653291839062382,14.324956781032887,17.81462940003559,16.953934527209874,15.26159474181167,17.94368603945882,Araneidae,Gasteracantha,diadesmia,2337415.0,urn:lsid:nmbe.ch:spidersp:016017,Unknown,Female,2017-01-25,India,,0.109,0.026,5.85,2.79,0.89,0.2,26.5,4.0,225.0,276.0,296.0,18.0,34.6,2.8,2.42,0.08,0.2,5.4,3.2
139,5024-W1_S12,5024.0,DRR296519,-,Neoscona,Araneidae,15.777649191753726,11.40081785365808,8.133956982937603,6.044394119358453,11.793075710680808,5.744241302878509,8.652541778047638,12.038029326456183,2.321928094887362,11.625887180783453,11.42496046721247,19.153733627393336,Araneidae,Neoscona,sp. (OTU1084),2337508.0,,Unknown,Female,2017-01-25,India,,0.126,0.035,9.24,2.54,1.36,0.35,20.4,3.8,,,,14.0,46.2,46.7,1.08,0.49,,,
140,5027-W1_S13,5027.0,DRR297749,unicolor,Cyrtophora,Araneidae,16.92430750217734,6.426264757017993,8.254516004219045,5.977279926661296,16.24358331317951,1.0,5.906890595608519,15.69566664799465,1.0,5.357552004618084,8.008334337302585,13.845583237703606,Araneidae,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Unknown,2017-01-25,India,8.0,0.043,0.019,5.08,1.52,0.67,0.12,12.2,2.5,209.0,280.0,307.0,23.0,70.2,14.9,0.72,0.05,7.6,6.1,2.5
141,5040-W1_S15,5040.0,DRR297430,-,Gasteracantha,Araneidae,17.604585983024872,9.467605550082997,11.061574748847544,6.820178962415188,15.305861930425543,13.169730884535896,12.798269270898883,14.977621160399334,16.17313023074155,14.808480770275528,13.40398886283024,20.6240751331956,Araneidae,Gasteracantha,sp. (OTU0225),2337416.0,,Unknown,Female,2017-01-25,India,,0.063,0.012,4.11,1.22,0.72,0.13,19.0,2.1,229.0,288.0,312.0,22.0,38.7,4.1,2.33,0.1,5.2,41.1,11.8
144,5058-W1_S12,5058.0,DRR297450,hiramatsui,Zygiella,Araneidae,16.043485714733443,7.774339029936436,6.9886846867721655,6.657239836192669,14.663780724148188,16.20156858405163,12.56763924313961,13.966325193888277,13.601537979546256,16.8857797718491,13.673881381230663,13.847601655039824,Araneidae,Zygiella,hiramatsui,2337719.0,urn:lsid:nmbe.ch:spidersp:049604,Unknown,Female,2017-03-20,Japan,5.0,0.111,0.014,2.34,0.78,0.92,0.07,29.8,4.6,191.0,219.0,246.0,17.0,62.1,31.7,0.57,0.1,9.4,,
147,5097-W1_S16,5097.0,DRR297556,tanigawai,Tetragnatha,Tetragnathidae,14.270777503639026,6.20945336562895,6.979682870951514,6.149747119504682,11.66615611507981,12.150382295693282,10.74062407821694,4.703064144368047,5.169925001442312,13.847351026463484,10.980049463521228,14.145429765707135,Tetragnathidae,Tetragnatha,tanigawai,2055960.0,urn:lsid:nmbe.ch:spidersp:014367,Unknown,Male,2017-03-21,Japan,4.0,0.035,0.012,2.93,1.52,0.62,0.24,14.5,1.9,,,,,42.2,8.6,0.54,0.03,,,
148,5104-W1_S17,5104.0,DRR297722,alba,Cyclosa,Araneidae,17.928209234428685,13.029737291505356,13.256601555620371,5.614709859000052,13.325305932989364,12.729833746325717,10.802516429743621,13.54557404290681,16.078338665785598,13.844510041983531,14.325564722500973,12.815636511837468,Araneidae,Cyclosa,alba,345691.0,urn:lsid:nmbe.ch:spidersp:015564,Unknown,Female,2017-03-22,Japan,3.0,0.153,0.067,2.38,0.7,1.25,0.24,29.2,6.0,,,,5.0,60.2,10.3,0.6,0.04,,,
150,5118-W1_S27,5118.0,DRR297449,fusiformis,Larinia,Araneidae,18.134660591838166,14.797864137333749,16.448165245323587,7.426264754702098,15.334763441764458,15.709722606008642,15.170555788417898,9.29232163280204,17.259137802633425,17.023689207113737,11.959259275239326,14.645493219014327,Araneidae,Larinia,fusiformis,2337460.0,urn:lsid:nmbe.ch:spidersp:016301,Unknown,Female,2017-04-09,Japan,7.0,0.034,0.015,2.57,0.42,0.54,0.19,14.4,3.7,,,,14.0,37.6,11.2,0.79,0.07,,,
