Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,OG0000264,OG0000282,OG0003351,OG0004409,OG0004717,OG0007747,OG0008243,OG0008312,OG0008607,OG0009194,OG0009245,OG0009741,OG0010802,family,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd
80,4039-W1_S9,4039.0,DRR297775,scylloides,Neoscona,Araneidae,4.57812840325503,11.847289020239538,0.0,9.853724368066848,7.505360616447166,9.623076720832634,8.866550102869928,2.9739308186612763,0.0,7.068349435616991,2.793255004718904,4.163462503436902,0.0,Araneidae,Neoscona,scylloides,1112446.0,urn:lsid:nmbe.ch:spidersp:016751,Unknown,Female,2016-07-14,Japan,11.0,0.126,0.035,3.21,0.71,0.77,0.24,35.4,4.8,215.0,283.0,301.0,21.0,37.0,7.3,2.85,0.25,3.1,,
98,4419-W1_S7,4419.0,DRR297465,hamulata,Cyclosa,Araneidae,6.707857431575505,14.37258699015928,0.0,9.424617716631538,4.070298297832482,7.741999471804655,0.0,3.028374658138056,10.408032466130653,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,hamulata,2337382.0,urn:lsid:nmbe.ch:spidersp:015627,Unknown,Female,2016-09-28,Japan,10.0,0.03,0.014,1.68,0.2,0.33,0.06,16.7,4.6,,,,,42.5,4.1,1.18,0.05,,,
99,4426-W1_S4,4426.0,DRR297809,mitificus,Araneus,Araneidae,7.002673832693211,12.330787175624453,3.6792999273137443,9.925788812420116,7.048105810499135,0.0,9.925790147344555,1.740223845586906,10.437782236504429,0.0,0.0,0.0,0.0,Araneidae,Araneus,mitificus,1662246.0,urn:lsid:nmbe.ch:spidersp:015032,Unknown,Female,2016-09-28,Japan,8.0,0.239,0.099,9.01,3.46,1.05,0.29,34.3,10.1,224.0,277.0,298.0,16.0,39.5,9.1,0.68,0.04,4.8,,
100,4440-W1_S18,4440.0,DRR297182,variegatus,Araneus,Araneidae,6.310411526432221,13.158481045326893,8.24310098982781,9.459220527073814,6.701059666347608,8.000861978150366,8.253578062231897,5.133633801163705,9.674947851740207,9.803837998461699,8.268014650647682,0.0,0.0,Araneidae,Araneus,variegatus,1112387.0,urn:lsid:nmbe.ch:spidersp:015276,Unknown,Female,2016-09-29,Japan,11.0,0.154,0.044,4.85,1.52,1.2,0.11,27.3,3.6,216.0,285.0,300.0,12.0,42.1,8.0,1.79,0.04,2.2,,
104,4487-W1_S15,4487.0,DRR296623,macacus,Araneus,Araneidae,6.06266745593414,9.035400890547017,0.0,10.587411874762866,6.786518605850774,9.403148401889,9.363712073939833,3.4617040400270898,0.0,7.422754403027008,6.822945516552043,0.0,0.0,Araneidae,Araneus,macacus,2337292.0,urn:lsid:nmbe.ch:spidersp:014996,Unknown,Female,2016-10-11,Japan,,0.084,0.025,6.41,1.35,1.04,0.15,17.9,3.8,220.0,281.0,303.0,20.0,35.8,3.5,2.44,0.13,2.6,33.3,2.0
112,4682-W1_S8,4682.0,DRR297427,clavata,Trichonephila,Araneidae,12.926933687392415,0.0,0.0,9.551002600622214,3.2107223789809147,8.355936865858116,0.0,0.0,5.899881334112566,0.0,0.0,0.0,0.0,Araneidae,Trichonephila,clavata,70342.0,urn:lsid:nmbe.ch:spidersp:013940,Unknown,Female,2016-11-02,China,,0.092,0.024,9.05,2.08,1.12,0.14,16.9,2.7,239.0,285.0,304.0,15.0,52.6,10.9,2.68,0.03,5.1,,
113,4683-W1_S9,4683.0,DRR297944,clavata,Trichonephila,Araneidae,12.914765458471866,0.0,0.0,8.554842068477607,0.0,10.526831754247416,0.0,0.0,9.135409174323188,0.0,0.0,0.0,0.0,Araneidae,Trichonephila,clavata,70342.0,urn:lsid:nmbe.ch:spidersp:013940,Unknown,Female,2016-11-02,China,,0.246,0.024,15.7,3.08,2.22,0.15,21.5,1.3,,,,15.0,42.6,4.9,2.26,0.06,,46.0,1.2
116,4739-W1_S16,4739.0,DRR296787,mulmeinensis,Cyclosa,Araneidae,4.9739381636484765,14.372548260746441,0.0,0.0,4.091934200158811,7.037030730944967,0.0,7.006940898891364,0.0,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,mulmeinensis,345697.0,urn:lsid:nmbe.ch:spidersp:015662,Unknown,Female,2016-11-07,Japan,4.0,0.088,0.027,3.41,0.03,0.81,0.19,24.5,1.3,235.0,282.0,305.0,15.0,77.9,14.1,0.64,0.05,,31.8,6.8
120,4781-W1_S22,4781.0,DRR297129,unicolor,Cyrtophora,Araneidae,7.1314011924369005,9.723534722268566,6.134629618080059,8.603248005165254,11.296667326252742,7.880397790073907,0.0,4.921843316775687,10.093655242847353,0.0,0.0,3.0540305443775795,0.0,Araneidae,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Unknown,2016-11-28,Japan,5.0,0.085,0.01,4.42,1.17,0.76,0.06,18.5,4.9,,,,16.0,47.8,14.9,0.64,0.02,,,
126,4910-W1_S25,4910.0,DRR296789,unicolor,Cyrtophora,Araneidae,7.07008755408799,12.151620707454803,0.0,9.040791083457773,7.409223743554265,9.337798047202146,0.0,5.151029531971135,0.0,0.0,0.0,4.093788325682995,10.50003517857179,Araneidae,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Male,2017-01-24,India,8.0,0.126,0.01,7.13,1.53,1.0,0.11,23.2,2.6,,,,,46.1,3.7,2.08,0.11,,,
127,4911-W1_S27,4911.0,DRR296893,pilipes,Nephila,Araneidae,13.901888754211532,7.39556840843405,0.0,10.010223030696917,4.584902387175411,8.957041081328995,0.0,0.0,8.497464671813317,0.0,0.0,0.0,9.337514866550707,Araneidae,Nephila,pilipes,299642.0,urn:lsid:nmbe.ch:spidersp:013960,Unknown,Female,2017-01-24,India,24.0,0.089,0.026,5.59,1.75,0.98,0.18,19.5,2.9,217.0,276.0,299.0,19.0,34.7,1.4,1.95,0.05,7.3,35.6,9.9
128,4912-W1_S1,4912.0,DRR296879,pilipes,Nephila,Araneidae,15.943001706648392,7.166072675946706,0.0,10.88614652003593,8.453295330433322,9.049788662753095,0.0,0.0,8.868405887487478,0.0,0.0,0.0,0.0,Araneidae,Nephila,pilipes,299642.0,urn:lsid:nmbe.ch:spidersp:013960,Unknown,Female,2017-01-24,India,11.0,0.135,0.079,9.38,4.24,1.17,0.35,19.7,6.6,222.0,280.0,301.0,20.0,55.7,17.6,0.98,0.2,8.4,,
130,4916-W1_S2,4916.0,DRR297531,-,Argiope,Araneidae,5.031180346470575,11.876297989467016,7.623427948046043,0.0,9.333894111766062,8.73018819394839,0.0,6.154383919067167,8.857131918281622,0.0,0.0,3.6668497392661825,0.0,Araneidae,Argiope,sp. (OTU0362),2337308.0,,Unknown,Female,2017-01-24,India,13.0,0.212,0.055,7.16,2.53,1.52,0.27,31.4,3.6,241.0,287.0,305.0,15.0,33.8,2.1,2.05,0.03,7.6,45.2,14.3
131,4954-W1_S11,4954.0,DRR297092,bifida,Cyclosa,Araneidae,10.075267342564944,11.636269340333971,0.0,8.995693671884073,5.641084998181685,8.747135604300272,0.0,4.3655315756286885,9.464198563258163,0.0,0.0,0.0,8.277292050227748,Araneidae,Cyclosa,bifida,2293436.0,urn:lsid:nmbe.ch:spidersp:015579,Unknown,Female,2017-01-24,India,7.0,0.099,0.032,2.49,1.28,1.06,0.44,25.8,3.1,,,,,60.3,12.9,0.75,0.06,,,
132,4959-W1_S4,4959.0,DRR297582,unicolor,Cyrtophora,Araneidae,6.061416342839746,12.08777895970735,5.27983898001482,8.77414462084455,7.505130568169782,0.0,0.0,6.780088138982769,0.0,0.0,0.0,7.149350831937387,0.0,Araneidae,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Unknown,2017-01-24,India,7.0,0.089,0.04,6.07,1.1,1.06,0.09,16.5,5.1,,,,24.0,45.4,3.4,1.69,0.04,,,
135,4992-W1_S8,4992.0,DRR296734,-,Argiope,Araneidae,6.331406594436015,11.89940209896469,0.0,11.013127229799819,11.23790305283713,8.731084786226274,0.0,5.721009041381705,0.0,0.0,0.0,2.195313578038045,0.0,Araneidae,Argiope,sp. (OTU0362),2337308.0,,Unknown,Female,2017-01-25,India,10.0,0.16,0.049,5.85,0.31,1.32,0.16,24.8,5.8,,,,16.0,37.6,1.8,2.78,0.09,,,
136,5018-W1_S10,5018.0,DRR296908,-,-,Araneidae,8.665260049330449,10.949696993660684,11.661646379045262,0.0,9.140958572516677,9.036632454002245,10.013568771043388,5.353989078203112,0.0,0.0,7.229608215303369,7.609024078855198,8.36736232837013,Araneidae,Gen.,sp. (OTU0124),2337812.0,,Unknown,Unknown,2017-01-25,India,,0.015,0.008,1.01,0.3,0.17,0.05,15.3,2.7,206.0,284.0,306.0,24.0,36.9,25.1,1.58,0.52,10.1,,
137,5019-W1_S14,5019.0,DRR297560,diadesmia,Gasteracantha,Araneidae,8.300028930165766,14.466014835736235,0.0,9.0988190321923,3.8699010097393916,7.3013864453851065,0.0,5.5813919240870815,10.165459770055666,0.0,0.0,0.0,0.0,Araneidae,Gasteracantha,diadesmia,2337415.0,urn:lsid:nmbe.ch:spidersp:016017,Unknown,Female,2017-01-25,India,,0.109,0.026,5.85,2.79,0.89,0.2,26.5,4.0,225.0,276.0,296.0,18.0,34.6,2.8,2.42,0.08,0.2,5.4,3.2
139,5024-W1_S12,5024.0,DRR296519,-,Neoscona,Araneidae,11.709319558442713,12.417166354465794,8.205738521231408,8.759289015895071,8.355496459899292,8.401370210577392,9.925620097693105,2.242474463920234,10.739113947531056,8.170703746362062,5.340792967852195,6.396822239296932,9.520390816919544,Araneidae,Neoscona,sp. (OTU1084),2337508.0,,Unknown,Female,2017-01-25,India,,0.126,0.035,9.24,2.54,1.36,0.35,20.4,3.8,,,,14.0,46.2,46.7,1.08,0.49,,,
140,5027-W1_S13,5027.0,DRR297749,unicolor,Cyrtophora,Araneidae,7.508545914278781,12.342531689852304,4.6050023682506085,8.8649599151426,8.243805678925067,8.549318772582591,0.0,6.082496098191756,8.767999012595409,0.0,0.0,4.713189903192986,0.0,Araneidae,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Unknown,2017-01-25,India,8.0,0.043,0.019,5.08,1.52,0.67,0.12,12.2,2.5,209.0,280.0,307.0,23.0,70.2,14.9,0.72,0.05,7.6,6.1,2.5
141,5040-W1_S15,5040.0,DRR297430,-,Gasteracantha,Araneidae,6.119945627464569,9.067727979148776,0.0,8.60146624920591,0.0,0.0,0.0,5.114591907921185,8.142750381368915,0.0,0.0,0.0,0.0,Araneidae,Gasteracantha,sp. (OTU0225),2337416.0,,Unknown,Female,2017-01-25,India,,0.063,0.012,4.11,1.22,0.72,0.13,19.0,2.1,229.0,288.0,312.0,22.0,38.7,4.1,2.33,0.1,5.2,41.1,11.8
144,5058-W1_S12,5058.0,DRR297450,hiramatsui,Zygiella,Araneidae,2.5017805107480764,10.647434141483629,0.0,8.443051279382908,4.681050023219669,7.435028457445346,0.0,0.0,8.522471682175151,0.0,0.0,0.0,0.0,Araneidae,Zygiella,hiramatsui,2337719.0,urn:lsid:nmbe.ch:spidersp:049604,Unknown,Female,2017-03-20,Japan,5.0,0.111,0.014,2.34,0.78,0.92,0.07,29.8,4.6,191.0,219.0,246.0,17.0,62.1,31.7,0.57,0.1,9.4,,
148,5104-W1_S17,5104.0,DRR297722,alba,Cyclosa,Araneidae,8.588179240180777,13.745766348541979,0.0,10.724786677447709,5.114578582500057,8.505855211155733,3.1667845255917415,7.65667297833724,0.0,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,alba,345691.0,urn:lsid:nmbe.ch:spidersp:015564,Unknown,Female,2017-03-22,Japan,3.0,0.153,0.067,2.38,0.7,1.25,0.24,29.2,6.0,,,,5.0,60.2,10.3,0.6,0.04,,,
150,5118-W1_S27,5118.0,DRR297449,fusiformis,Larinia,Araneidae,9.452786416409655,13.150838100613528,0.0,0.0,4.3480595801403075,8.28442945904081,9.864927115697515,3.9270117972192358,0.0,0.0,7.614795225580854,3.434124180365683,0.0,Araneidae,Larinia,fusiformis,2337460.0,urn:lsid:nmbe.ch:spidersp:016301,Unknown,Female,2017-04-09,Japan,7.0,0.034,0.015,2.57,0.42,0.54,0.19,14.4,3.7,,,,14.0,37.6,11.2,0.79,0.07,,,
158,5209-W1_S8,5209.0,DRR297461,spinipes,Gea,Araneidae,7.164252186670215,9.763479514590635,7.741023660354284,10.102356313689075,5.969960204140168,9.424861219031808,0.0,8.627081489441116,10.793830871394105,0.0,0.0,6.71579729747354,0.0,Araneidae,Gea,spinipes,1538127.0,urn:lsid:nmbe.ch:spidersp:016112,Unknown,Female,2017-04-15,Malaysia,5.0,0.141,0.025,4.66,0.82,1.54,0.17,21.9,3.8,201.0,273.0,306.0,,48.2,6.4,0.51,0.03,15.1,,
161,5214-W1_S24,5214.0,DRR297685,dehaani,Parawixia,Araneidae,9.585773375488605,14.223710753639546,7.472599056146133,9.74307900503066,4.864018212608308,8.299524002694456,8.045835984346462,5.2077581782050135,8.16199346270224,0.0,8.662057668543243,0.0,0.0,Araneidae,Parawixia,dehaani,2337571.0,urn:lsid:nmbe.ch:spidersp:016893,Unknown,Female,2017-04-15,Malaysia,18.0,0.099,0.029,5.98,0.42,1.12,0.24,26.9,1.2,233.0,285.0,304.0,20.0,37.6,9.2,2.66,0.19,6.1,43.9,5.6
163,5219-W1_S2,5219.0,DRR297005,kuhli,Gasteracantha,Araneidae,7.741381770495135,9.267940165106312,0.0,10.386595422630574,3.7705996762807317,7.875915186555224,0.0,7.320204848915098,10.201719616648123,0.0,0.0,0.0,0.0,Araneidae,Gasteracantha,kuhli,216277.0,urn:lsid:nmbe.ch:spidersp:016031,Unknown,Female,2017-04-15,Malaysia,5.0,0.102,0.015,3.23,0.09,0.64,0.05,30.9,1.2,230.0,283.0,302.0,17.0,29.0,2.5,2.0,0.03,6.1,,
166,5229-W1_S4,5229.0,DRR297425,-,-,Araneidae,10.141695600737947,13.698180638721194,10.840903906119163,9.00733568184495,10.409336834059248,7.896919656540145,10.34146767476871,3.6648719059614945,9.258248017077781,0.0,0.0,4.866057338289673,0.0,Araneidae,Gen.,sp. (OTU0160),2337813.0,,Unknown,Female,2017-04-16,Malaysia,4.0,0.036,0.015,3.07,0.89,0.71,0.14,13.2,2.5,,,,12.0,60.4,8.8,0.45,0.03,,,
171,5249-W1_S7,5249.0,DRR296714,spinipes,Gea,Araneidae,7.763510769623411,10.106176180908715,0.0,10.859558080517107,3.0556034807787564,10.724547958982551,0.0,7.178070223604999,10.780490555886509,0.0,0.0,5.891122645598396,0.0,Araneidae,Gea,spinipes,1538127.0,urn:lsid:nmbe.ch:spidersp:016112,Unknown,Female,2017-04-15,Malaysia,6.0,0.128,0.035,13.0,1.59,2.17,0.12,13.7,2.7,258.0,282.0,294.0,15.0,48.7,9.7,0.48,0.03,11.5,40.3,8.5
173,5281-W1_S8,5281.0,DRR296535,perpolita,Singa,Araneidae,9.470547480282603,11.505727410792241,11.839601698915075,0.0,4.842076236749332,0.0,7.394569874510139,4.1644162263846685,0.0,5.5804681247008965,0.0,3.709378871253852,0.0,Araneidae,Singa,perpolita,2337647.0,urn:lsid:nmbe.ch:spidersp:017059,Unknown,Female,2017-04-17,Malaysia,5.0,0.155,0.044,3.41,0.74,1.63,0.16,24.4,3.0,241.0,288.0,307.0,,77.0,19.7,0.38,0.02,7.7,,
174,5286-W1_S8,5286.0,DRR297350,poonaensis,Eriovixia,Araneidae,5.709855663344161,11.735276769819023,7.814666093333794,8.109438919188126,5.916371543619761,0.0,7.198960636047049,3.2111991396932615,10.125917098830794,0.0,0.0,4.1617022962432255,0.0,Araneidae,Eriovixia,poonaensis,1750731.0,urn:lsid:nmbe.ch:spidersp:015900,Unknown,Female,2017-04-17,Malaysia,,0.241,0.059,12.8,2.34,1.56,0.13,27.6,6.2,216.0,279.0,278.0,8.0,65.4,8.7,0.47,0.03,7.5,,
176,53-W30_S19,53.0,DRR297226,amabilis,Araneus,Araneidae,8.578003601062068,11.066761286705066,4.543920834338987,8.544504705707363,0.0,8.913472881128678,0.0,1.9900435878636453,8.794269639847872,7.658743896093874,0.0,0.0,0.0,Araneidae,Araneus,amabilis,2337290.0,urn:lsid:nmbe.ch:spidersp:037655,Unknown,Unknown,2014-12-08,Japan,,0.128,0.032,6.17,0.79,0.92,0.15,25.7,3.7,,,,,41.0,7.8,1.72,0.13,,,
184,5457-W1_S20,5457.0,DRR297608,pentagrammicus,Araneus,Araneidae,8.404823733085118,12.856732691142724,5.020119897456082,10.090046239474782,5.465664676134466,8.21554270666029,8.958360439943002,3.737197849371747,10.284292026394313,0.0,0.0,0.0,9.954564208883008,Araneidae,Araneus,pentagrammicus,2337294.0,urn:lsid:nmbe.ch:spidersp:015102,Unknown,Female,2017-05-23,Japan,8.0,0.05,0.013,2.19,0.37,0.36,0.09,34.5,3.8,285.0,302.0,316.0,14.0,39.0,5.9,1.09,0.04,19.0,,
186,5478-W1_S3,5478.0,DRR296822,coccineus,Acusilas,Araneidae,8.382274452178303,14.834876647245961,0.0,8.84006662705775,5.137303499890019,8.624404349351007,0.0,5.006001733761576,9.161662419998445,0.0,0.0,0.0,0.0,Araneidae,Acusilas,coccineus,1662254.0,urn:lsid:nmbe.ch:spidersp:014455,Unknown,Female,2017-05-24,Japan,11.0,0.156,0.026,13.1,1.86,2.06,0.25,16.6,1.6,216.0,278.0,300.0,,43.5,4.1,0.57,0.03,7.0,,
191,5517-W1_S20,5517.0,DRR296489,seminiger,Araneus,Araneidae,7.1162108632312435,12.78018807281796,0.0,9.562521013030121,7.9466551915142984,10.198928723636229,7.318435253173635,3.728023889367569,9.424405668134574,7.09348094913921,5.292533672681481,3.7802995990412582,10.779235092948031,Araneidae,Araneus,seminiger,2175613.0,urn:lsid:nmbe.ch:spidersp:015191,Unknown,Female,2017-05-25,Japan,14.0,0.175,0.059,6.85,1.22,0.98,0.1,32.9,6.4,229.0,284.0,303.0,19.0,33.4,0.5,7.95,0.07,10.4,45.8,3.3
192,5532-W1_S4,5532.0,DRR165465,-,Neoscona,Araneidae,7.993541768994826,13.210094759298423,0.0,0.0,6.973775187954794,0.0,9.995291689686123,4.79879189645909,0.0,0.0,5.649204433604121,6.141079799208365,9.263792654615948,Araneidae,Neoscona,sp. (OTU0257),2507266.0,,Unknown,Female,2017-06-10,China,,0.06,0.014,2.9,0.78,0.82,0.14,19.1,2.8,,,,13.0,30.9,5.1,0.8,0.04,,,
193,5556-W1_S6,5556.0,DRR165467,scylloides,Neoscona,Araneidae,11.380995645267326,12.892246620153536,9.696377291094976,10.215957616196519,8.460393231402566,8.026125021093973,8.637526928934344,2.941469381079436,0.0,7.674925260587093,3.7099499555064703,3.9749238888436347,8.313848965269033,Araneidae,Neoscona,scylloides,1112446.0,urn:lsid:nmbe.ch:spidersp:016751,Unknown,Female,2017-06-10,China,7.0,0.149,0.046,4.92,1.46,1.0,0.09,28.4,5.2,223.0,293.0,311.0,10.0,54.2,8.9,0.45,0.03,2.5,,
194,5564-W1_S7,5564.0,DRR165468,-,Araneus,Araneidae,9.739629869795575,12.192745832812788,9.446595355720236,0.0,9.894528861979373,8.859967374737707,8.18210628226266,4.853242176072679,10.348064184729036,9.08883063133677,10.456381543680967,6.757465897630436,10.17061362376559,Araneidae,Araneus,sp. (OTU0080),2507252.0,,Unknown,Unknown,2017-06-10,China,,0.267,0.136,4.61,1.13,1.97,0.19,31.3,11.9,263.0,297.0,311.0,12.0,70.2,10.7,0.35,0.03,2.1,,
196,5570-W1_S9,5570.0,DRR165470,-,Neoscona,Araneidae,8.787061079208687,13.176755954362472,7.531538978618594,0.0,7.257486847778655,0.0,10.487974853202054,5.153480693171138,0.0,0.0,0.0,5.829202636982075,9.747910993259726,Araneidae,Neoscona,sp. (OTU0257),2507266.0,,Unknown,Male,2017-06-10,China,6.0,0.103,0.024,5.42,0.85,1.2,0.17,23.4,4.7,,,,7.0,39.3,11.7,0.69,0.09,,,
197,5580-W1_S10,5580.0,DRR165471,-,Araneus,Araneidae,8.387781874294147,12.377734456251114,8.97490714448154,9.284382261426115,8.204957734719352,8.218025530796929,7.642581727295592,2.874242203488244,10.708454543088038,8.231091548377853,9.785262820991948,5.252370241037666,9.59021088972183,Araneidae,Araneus,sp. (OTU0080),2507252.0,,Unknown,Unknown,2017-06-11,China,,0.074,0.04,4.29,0.66,0.74,0.15,20.3,6.8,,,,9.0,60.8,7.8,0.96,0.04,,,
198,5595-W1_S11,5595.0,DRR165472,-,Araneus,Araneidae,10.699362835204074,10.919317301768956,2.95150760141903,9.887075881673395,10.154243447643891,7.37918772810445,7.663704678856726,3.3161500877538024,9.534106359024033,7.7115231270308895,8.503197651387202,4.521835962545389,0.0,Araneidae,Araneus,sp. (OTU0080),2507252.0,,Unknown,Unknown,2017-06-11,China,8.0,0.194,0.068,6.57,1.02,1.66,0.18,27.4,7.2,,,,,44.7,5.9,0.58,0.03,,,
199,5602-W1_S12,5602.0,DRR165473,-,Araneus,Araneidae,9.189245126366307,13.364217771769983,5.66141043085683,8.571635099828857,8.265107025261564,7.054056166075188,0.0,4.703823859746697,0.0,11.97642837123893,10.245850959159977,5.973299009828202,0.0,Araneidae,Araneus,sp. (OTU0080),2507252.0,,Unknown,Unknown,2017-06-11,China,,0.157,0.084,5.86,1.94,1.79,0.41,20.3,5.4,,,,,53.4,7.1,0.43,0.02,,,
203,5654-W1_S1,5654.0,DRR297177,sakiedaorum,Eriovixia,Araneidae,9.146572112240099,9.865923530143652,9.092860688886253,11.223138935557603,3.644336238808603,0.0,12.200638660559324,4.897701723755033,9.338587092119775,0.0,0.0,6.840576530078458,0.0,Araneidae,Eriovixia,sakiedaorum,2337407.0,urn:lsid:nmbe.ch:spidersp:015903,Unknown,Male,2017-06-27,Japan,3.0,0.118,0.032,6.53,1.26,1.16,0.14,18.9,3.8,,,,,43.7,6.8,0.54,0.02,,,
209,5803-W1_S1,5803.0,DRR297218,nagasakiensis,Cyrtarachne,Araneidae,11.793639140502545,14.570632917789426,0.0,10.535970667777244,6.251539217838094,8.757366672689654,4.7535082678296625,6.201520166047947,7.850768175060415,0.0,0.0,0.0,8.609921137881912,Araneidae,Cyrtarachne,nagasakiensis,386110.0,urn:lsid:nmbe.ch:spidersp:015776,Unknown,Female,2017-07-11,Japan,5.0,0.157,0.034,9.52,1.63,1.53,0.07,19.2,4.0,205.0,275.0,295.0,,69.4,11.4,0.33,0.03,5.8,,
212,5816-W1_S6,5816.0,DRR296473,argiopiformis,Larinia,Araneidae,8.18056183645347,11.717163241254692,0.0,10.120756272978472,3.9912451849018495,9.337708862442094,9.382262086259475,5.006080301469178,0.0,0.0,6.416371938400874,4.809782274286034,9.52290318402459,Araneidae,Larinia,argiopiformis,1112526.0,urn:lsid:nmbe.ch:spidersp:016286,Unknown,Female,2017-07-11,Japan,12.0,0.286,0.117,9.92,1.15,2.45,0.52,27.2,5.5,212.0,276.0,297.0,8.0,43.1,3.7,0.56,0.03,7.1,,
218,5926-W1_S3,5926.0,DRR297573,x-notata,Zygiella,Araneidae,3.7391352179700448,8.002242942516657,0.0,10.928111195036076,6.459539816707987,8.247732926319236,0.0,0.0,11.362256177664346,0.0,0.0,0.0,0.0,Araneidae,Zygiella,x-notata,389061.0,urn:lsid:nmbe.ch:spidersp:017187,Unknown,Unknown,2017-07-22,United Kingdom,6.0,0.079,0.028,5.87,1.45,0.75,0.12,14.7,4.8,,,,,67.3,11.9,0.57,0.03,,,
223,5996-W1_S18,5996.0,DRR296736,umbratica,Nuctenea,Araneidae,7.836240513092706,11.327172609489205,12.222988252697679,9.236117066982954,7.596909060371288,8.747206111428843,9.651892838587916,2.605304680238342,8.990140846445103,8.04166462675032,7.625753912884023,6.136667174021935,0.0,Araneidae,Nuctenea,umbratica,1872065.0,urn:lsid:nmbe.ch:spidersp:016784,Unknown,Female,2017-07-23,United Kingdom,,0.216,0.069,28.6,1.7,2.21,0.36,15.5,4.8,222.0,277.0,299.0,34.0,38.3,6.3,0.43,0.04,6.6,,
224,6019-W1_S22,6019.0,DRR297274,cornutus,Larinioides,Araneidae,6.377818547020487,13.32424871713152,7.155700565991239,10.701793776619866,4.179455315942826,7.575161033425394,9.408384453859709,3.899471487999185,9.051358505691935,9.07392758542713,0.0,6.359524684392141,0.0,Araneidae,Larinioides,cornutus,336591.0,urn:lsid:nmbe.ch:spidersp:016288,Unknown,Female,2017-07-24,United Kingdom,,0.102,0.038,10.7,1.46,1.25,0.2,15.2,3.6,230.0,283.0,298.0,24.0,44.0,7.3,1.74,0.19,6.6,47.3,3.5
226,6054-W1_S3,6054.0,DRR296675,diadematus,Araneus,Araneidae,6.2968938208493315,11.296330689910102,7.084255285891068,9.564831607205385,7.260748855213045,8.886208698358665,6.471496390403289,6.1357203659597666,9.753977181693909,7.876917162183043,6.468172735608889,6.576138738843046,0.0,Araneidae,Araneus,diadematus,45920.0,urn:lsid:nmbe.ch:spidersp:014834,Unknown,Female,2017-07-25,United Kingdom,11.0,0.082,0.02,6.0,1.22,1.08,0.11,17.8,1.3,240.0,283.0,299.0,13.0,37.6,4.8,1.39,0.04,10.6,38.9,5.1
230,6129-W1_S14,6129.0,DRR296917,dispar,Zygiella,Araneidae,2.8371661968765722,8.43885005812044,0.0,10.164628942326889,6.051487390897812,11.066093712330664,0.0,0.0,8.031410084578614,0.0,0.0,0.0,0.0,Araneidae,Zygiella,dispar,2175612.0,urn:lsid:nmbe.ch:spidersp:017170,Unknown,Female,2017-08-07,Japan,5.0,0.102,0.04,10.4,1.82,1.63,0.18,13.2,2.3,,,,,60.0,12.2,0.36,0.03,,,
233,6323-W1_S17,6323.0,DRR296776,omonaga,Cyclosa,Araneidae,7.554427460327789,12.26950399276431,0.0,10.50391515847082,6.135473306017037,9.148824058236523,0.0,4.78409142623606,8.324171543813485,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,omonaga,1933405.0,urn:lsid:nmbe.ch:spidersp:015675,Unknown,Female,2017-09-12,Japan,7.0,0.153,0.073,5.35,0.98,1.33,0.47,27.1,5.8,,,,,41.6,4.6,0.62,0.05,,,
234,6327-W1_S18,6327.0,DRR296520,japonica,Cyclosa,Araneidae,8.341548221679336,13.400835447818437,0.0,9.499634648312124,4.86883489863698,8.681902496093455,0.0,5.077035724832934,8.442665708854756,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,japonica,1112403.0,urn:lsid:nmbe.ch:spidersp:015637,Unknown,Female,2017-09-12,Japan,7.0,0.143,0.062,17.3,4.1,2.42,0.59,12.3,2.8,212.0,276.0,297.0,25.0,50.4,10.6,0.54,0.04,6.5,,
237,65-W8_S10,65.0,DRR297546,aemula,Argiope,Araneidae,3.9928200841264734,9.79618877156628,0.0,10.476543706214256,7.922099111765421,9.371860503313524,0.0,2.7980463661057886,0.0,0.0,0.0,0.0,8.952680102407712,Araneidae,Argiope,aemula,332528.0,urn:lsid:nmbe.ch:spidersp:015339,Unknown,Female,2014-12-08,Japan,,0.245,0.094,6.5,1.4,1.74,0.8,32.7,7.4,,,,,37.2,17.1,1.89,0.18,,,
